feature_name,category,description,dependencies,driver_required
Dual-mode operation (Root Complex or End Point),Interfaces,"Controller supports RC or EP mode; selection via bootstrap or software override. RC initiates configuration cycles and manages downstream enumeration; EP exposes Type 0 configuration and responds to host. Finalize mode selection before enabling LTSSM to avoid link mis-training.",PSC power domain enabled; DEVSTAT PCIe enabled; valid SerDes reference clock; configure before LTSSM enable,YES
Gen1/Gen2 link speed selection,Performance,"Supports 2.5 GT/s (Gen1) and 5.0 GT/s (Gen2). Configure via Link Control 2 or Port Logic GEN2 registers, then retrain. Verify negotiated speed post-training and apply required equalization settings for Gen2 stability.",Stable reference clock; SerDes PLL locked; common-clock and SSC settings consistent with partner,YES
x1/x2 link width with lane reversal and polarity inversion,Performance,"Operates with x1 or x2 link widths. Automatic lane reversal and RX polarity inversion are supported. Controller may down-train width based on partner capabilities or signal integrity.",SerDes lane enables configured; partner supports desired width; PLL locked,YES
Outbound address translation windows,Configuration,"Outbound translation regions map system addresses into PCIe memory space. Program indices, offsets, and size per region, then enable after link-up to prevent target errors.",OB region tables programmed; link up; non-cacheable attributes set for MMIO,NO
Inbound address translation regions,Configuration,"Inbound regions translate PCIe BAR hits into system address space for EP host access or peer-to-peer writes. Configure BAR match, start address, and offset per region.",BAR sizing aligned with host enumeration; IB regions enabled; MMIO attributes,NO
Endianness control,Configuration,"Application endianness selectable to match system architecture. Configure byte swapping before enabling translators and traffic to avoid data corruption on inbound/outbound paths.",ENDIAN register programmed prior to OB/IB/DMA activity,NO
TLP attributes: Relaxed Ordering and No Snoop,Performance,"Outbound TLPs can request Relaxed Ordering and No Snoop. Use where interconnect and cache policy permit to improve throughput; validate effects on coherency-sensitive paths.",System memory ordering rules and cache policy allow attributes; performance validation,NO
Legacy INTx interrupt handling,Interrupts,"Supports legacy INTA–INTD signaling mapped to SoC interrupts. Use proper enable/mask sequencing, W1C semantics for status, and write EOI to complete servicing.",SoC interrupt routing configured; status/enable registers managed; EOI writes,NO
MSI reception (RC mode),Interrupts,"As RC, receives MSIs from endpoints. Vectors are grouped in raw/status/enable sets; clear with W1C. Configure endpoint MSI capability during enumeration.",Endpoint MSI enabled during enumeration; SoC IRQ mapping complete,YES
MSI generation (EP mode),Interrupts,"As EP, generates MSI to host by programming local MSI target and writing vector. Host must allocate and enable vectors; fall back to INTx if MSI disabled.",MSI capability configured; host assigned vectors; BAR/IB mappings valid,YES
Power management and ASPM L0s/L1,Power,"Supports device power management and ASPM L0s/L1 states. Enter/exit with quiesced traffic to minimize latency impact. L2 state is not supported on this controller.",Stable link; partner ASPM support; follow timing constraints,NO
PM/reset related interrupts,Interrupts,"Dedicated interrupts for PME, turn-off acknowledge, and reset events. Must be enabled and serviced promptly to ensure orderly power and reset sequencing.",SoC IRQ mapping; correct status clear order; debounce where needed,NO
Advanced Error Reporting (AER) and ECRC,Error Handling,"AER logs correctable and uncorrectable errors with severity and first error pointer. ECRC generation/checking detects TLP corruption; disable when peers lack support.",AER and Root Error Command enabled; error MSI/INTx routed; log before clearing,NO
SerDes PLL configuration and lock detection,Clocks/Power,"Program SerDes PLL and per-lane rates, then verify lock prior to link training. Lane status and PCS diagnostics assist in SI bring-up and troubleshooting.",Stable external refclk; proper PLL parameters; observed lock wait,NO
Link training control and LTSSM monitoring,Debug,"Gate training with LTSSM_EN; start negotiation only after configuration is complete. Monitor LTSSM to L0 for success and handle error or recovery states as needed.",SerDes locked; translators and interrupts configured; debug registers readable,YES
Downstream hot reset (RC mode),Resets,"Issue downstream hot reset after quiescing traffic to recover misbehaving endpoints. Observe required delays and re-enumerate affected devices upon link recovery.",RC role; traffic flushed; reset timing honored,NO
Remote configuration and IO windows (RC),Configuration,"Perform Type 0/1 configuration and IO cycles through dedicated windows. Only 32-bit, single, non-burst, non-cacheable accesses are permitted and only when link is up.",CFG_SETUP indices programmed; IOBASE set; target presence verified,NO
Translator enable and protection controls,Configuration,"Independently enable/disable outbound and inbound translators to stage bring-up and isolate faults. Disable regions before remapping to avoid stray accesses.",Valid OB/IB tables; known link state; handlers ready for faults,NO
PCS/SerDes application-space controls,Debug,"Per-lane PCS/SerDes controls expose status and limited tuning for lab use. Apply cautiously and revert to defaults for production.",SerDes powered; privileged access; board SI validated,NO
128-bit VBUSM interfaces and MMIO access rules,Performance,"Wide internal buses support high throughput, but controller special windows require 32-bit, single, non-burst, strongly-ordered accesses to ensure correctness.",MMIO attributes set appropriately; helpers enforce access width,NO
Common clock and SSC configuration,Configuration,"Enable common-clock when endpoints share refclk; optionally enable SSC to reduce EMI if both sides support. Mismatch can degrade Gen2 performance.",Board clock topology known; Port Logic GEN2 configured,YES
Initialization sequence (RC mode),Initialization,"Power and clock PCIe domain, configure SerDes and endianness, set translators and interrupts with LTSSM disabled. Enable LTSSM, wait for L0, then enumerate and enable MSI on endpoints.",PSC/DEVSTAT set; SerDes lock; retry and timeout policies in place,YES
Initialization sequence (EP mode),Initialization,"Configure BARs, capabilities, and inbound windows; enable LTSSM to link with host. After link, respond to host configuration and enable MSI for driver use.",BAR sizes chosen; IB/OB programmed; SerDes locked,NO
Hot-plug and L2 state limitations,Configuration,"No hardware hot-plug controller and no L2 link state support. Software must avoid relying on these features and implement alternative recovery strategies.",Design avoids hot-plug/L2 assumptions; platform-level handling,NO
Payload and read request size limits,Performance,"Maximum outbound payload 128 B; inbound payload and read request up to 256 B. Program capabilities and negotiate MPS/MRRS within limits for stability.",Enumeration code configures Device/Link Control fields,NO
Priority and privilege configuration,Configuration,"Configure master priority and privilege IDs to integrate with SoC QoS and security. Tune conservatively to prevent starvation and unintended privilege escalation.",PRIORITY register policy; SoC QoS guidelines,NO
Activity and diagnostics support,Debug,"Activity and diagnostic registers aid throughput tuning and fault isolation. Follow access rules and sample during stable link periods for consistency.",Use non-burst 32-bit reads; minimize impact during sampling,NO
