"controller_name","feature_name","category","description","evidence","type","dependencies","Driver required","Remarks"
"TMS320C6452 GPIO Controller","32 GPIO pins in 2 banks (GP[31:0])","Interface","Provides up to 32 general‑purpose I/O signals grouped into two banks of 16 pins each. Each pin can serve as a low‑speed interface to external components. The grouping simplifies banked control and status operations. Banked layout is reflected in shared 32‑bit control registers for banks 0 and 1. Enables scalable GPIO usage across packages. Pin mapping is device/package dependent.","Section 1.2 Features; Section 2.2 Signal Descriptions; Section 2.5, Table 1","Explicit","Proper pin multiplexing per device data manual","Yes","Use device data manual for exact pinout and mux options"
"TMS320C6452 GPIO Controller","Per‑pin direction control (input/output)","Configuration","Each GPIO pin direction is individually programmable. A DIR01 register bit per pin selects input (1) or output (0). All pins reset as inputs by default. Direction can be changed at runtime as needed. Direction setting gates whether output data writes take effect. ","Section 3.3 DIR01; Sections 2.6/2.7","Explicit","PSC clock enabled; correct pin mux; write DIR01 before driving","Yes","Default after reset: inputs (DIR bits = 1)"
"TMS320C6452 GPIO Controller","Separate input and output data registers","Configuration","Input and output states are accessed via distinct registers. OUT_DATA01 reflects the driven output values irrespective of actual pad direction. IN_DATA01 returns the synchronized logic level on the external pin. Reading IN_DATA01 on an output returns the value driven, while on inputs it returns sampled pin level. This separation simplifies software and avoids read‑modify‑write hazards.","Section 1.2 Features; Section 3.4 OUT_DATA01; Section 3.7 IN_DATA01; Section 2.7.2","Explicit","PSC clock; proper DIR settings","Yes","IN_DATA01 samples are synchronized to GPIO clock"
"TMS320C6452 GPIO Controller","Atomic set/clear output controls","Data Handling","Dedicated SET_DATA01 and CLR_DATA01 registers allow setting or clearing individual outputs atomically. Writing 1 to a SET bit drives the corresponding output high; writing 1 to a CLR bit drives it low. This enables concurrent software contexts to manipulate pins without critical sections. Reads of these registers return current output drive state for convenience. Using set/clear avoids read‑modify‑write races on OUT_DATA01.","Section 1.2 Features; Section 3.5 SET_DATA01; Section 3.6 CLR_DATA01","Explicit","Pins must be configured as outputs (DIR=0)","Yes","Useful for ISR and multi‑threaded contexts"
"TMS320C6452 GPIO Controller","Single register output write (OUT_DATA01)","Configuration","As an alternative to set/clear, software may write OUT_DATA01 to drive all outputs in one operation. OUT_DATA01 bits directly reflect the desired driven levels for pins configured as outputs. Read‑modify‑write can be used to change selected bits. Writes do not affect pins configured as inputs. Provides a bulk update path when atomicity is not a concern.","Section 1.2 Features; Section 3.4 OUT_DATA01","Explicit","Pins must be configured as outputs (DIR=0)","Yes","Prefer SET/CLR for per‑bit atomic updates"
"TMS320C6452 GPIO Controller","Per‑pin edge‑triggered interrupts (rising/falling/both)","Interrupt","Every GPIO pin can generate an interrupt on rising, falling, or both edges. Edge detection is synchronized to the GPIO peripheral clock for reliable timing. Control is via SET_RIS_TRIG01/CLR_RIS_TRIG01 and SET_FAL_TRIG01/CLR_FAL_TRIG01. Direction does not need to be input to generate an interrupt, enabling self‑test by toggling outputs. Status is readable and write‑1‑to‑clear in INTSTAT01.","Section 2.10.3; Sections 3.8–3.12","Explicit","Enable bank via BINTEN; configure edge registers; route/enable CPU interrupt per device manual","Yes","Edge detection is clock‑synchronous to GPIO clock"
"TMS320C6452 GPIO Controller","Per‑bank interrupt/event enable (BINTEN)","Interrupt","Bank‑level gating controls whether pins in each bank can generate interrupts/events. EN0 controls bank 0 (pins 0‑15) and EN1 controls bank 1 (pins 16‑31). BINTEN bits gate both CPU interrupt delivery and EDMA event generation. Provides coarse enable/disable for power and noise management. Default after reset is disabled.","Section 3.2 BINTEN; Section 2.10.2; note in 3.2","Explicit","PSC clock; set BINTEN[EN0/EN1]=1 as needed","Yes","BINTEN affects both IRQ and EDMA event paths"
"TMS320C6452 GPIO Controller","Write‑1‑to‑clear interrupt status","Interrupt","Pending GPIO interrupts are indicated per pin in INTSTAT01. Software clears a pending bit by writing a 1 to that bit, while writing 0 has no effect. This mechanism allows fast, race‑free ISR acknowledgement. INTSTAT01 covers both banks in a single 32‑bit register. Reading the register reveals which pins triggered.","Section 3.12 INTSTAT01","Explicit","Interrupt must be enabled and edge configured to set status","Yes","Typical ISR flow: read INTSTAT01, service, write 1s to clear"
"TMS320C6452 GPIO Controller","EDMA synchronization events from GPIO","DMA/Event","GPIO can generate synchronization events to the EDMA controller. This enables tying external pin transitions to DMA transfers without CPU polling. BINTEN gating applies to both interrupt and EDMA event paths. Event details and mapping are device‑specific. Useful for low‑latency data movement triggers.","Section 1.2 Features; Section 2.11; Section 3.2 note","Explicit","Enable BINTEN for the bank; configure EDMA event mapping per device data manual","Yes","Consult device data manual for event numbers/mux"
"TMS320C6452 GPIO Controller","Input sampling synchronized to peripheral clock","Timing","When used as inputs, pin levels are synchronized to the GPIO clock domain before being captured. This reduces metastability risk and provides deterministic sampling relative to the peripheral clock. Synchronizing flip‑flops are shown in the block diagram. Reading IN_DATA01 returns these synchronized values. Ensures robust edge detection and status reads.","Section 2.7.2; Figure 1 block diagram","Explicit","PSC clock must be enabled for sampling","Yes","Helps interface to asynchronous external signals"
"TMS320C6452 GPIO Controller","Clock control via PSC (GPIO clock = CPU/6)","Clock","GPIO input clock is derived at CPU/6 and is disabled by default. The local Power and Sleep Controller (PSC) must be programmed to enable the GPIO clock. Without enabling the LPSC, the peripheral remains inactive. Clocking impacts input sampling and edge detection timing. Proper sequencing is required during init and reset.","Section 2.1 Clock Control","Explicit","Program PSC to enable module clock before use","Yes","GPIO inactive until PSC enables clock"
"TMS320C6452 GPIO Controller","Low‑power states with output retention","Power","The PSC can place the GPIO peripheral into reduced‑power modes. While in a low‑power state, interrupt/event generation is suspended. Output pins configured as outputs retain and hold their last driven states. Exiting low‑power state restores normal operation. This allows power savings without disturbing external logic levels.","Section 2.12 Power Management","Explicit","PSC low‑power entry/exit sequencing; external supplies must remain valid","Yes","Plan wakeup to re‑enable interrupts as needed"
"TMS320C6452 GPIO Controller","Pin multiplexing control","Configuration","The device uses extensive pin multiplexing; pins may serve alternate peripheral functions or GPIO. Control is by a combination of reset‑time hardware configuration and software‑programmable registers. Proper muxing is a prerequisite to using a pin as GPIO. Pin options and default mux come from the device data manual. Incorrect muxing can disable GPIO function.","Section 2.3 Pin Multiplexing","Explicit","Device pinmux registers/bootstraps; consult data manual","Yes","Verify mux before DIR/OUT/IN configuration"
"TMS320C6452 GPIO Controller","Reset behavior (software/PSC/hardware)","Reset","A pure software reset via the emulator does not modify GPIO configuration/state. A PSC‑invoked reset sequence (clock disable, PSC reset, then enable) restores default register settings. A hardware reset resets configuration and data registers to defaults, affecting pin direction and levels. Understanding reset sources is key to reliable bring‑up. Plan initialization accordingly after each reset type.","Section 2.8 Reset Considerations","Explicit","System reset source; PSC programming; re‑init sequence required","Yes","Hardware reset returns pins to inputs/low per defaults"
"TMS320C6452 GPIO Controller","Initialization sequence guidance","Configuration","Post hardware reset, software must perform three steps: set pin multiplexing, enable the GPIO module in the PSC, and program direction/data/interrupt registers. Following this sequence ensures the peripheral is clocked and pins are correctly assigned. Only then should data transactions or interrupt enables be applied. Skipping steps leads to non‑functional GPIO. Sequence applies at cold boot and after PSC resets.","Section 2.9 Initialization","Explicit","Device pinmux; PSC enable; then DIR/OUT/IN/INT config","Yes","Treat as standard driver probe/init routine"
"TMS320C6452 GPIO Controller","Not affected by emulation suspend events","Debug","Halts and breakpoints do not affect the GPIO peripheral’s operation. The module continues to function during emulation suspend. This behavior aids in debugging real‑time I/O interactions. Developers should be aware that external signaling persists during halts. Plan safety around persistent outputs during debug.","Section 2.13 Emulation Considerations","Explicit","None","Yes","Useful for non‑intrusive observation"
"TMS320C6452 GPIO Controller","Peripheral identification and revision (PID)","Debug","PID register exposes the peripheral function code and revision fields. Software can read MAJOR and MINOR to adapt to silicon revisions. FUNCTION field identifies the GPIO block (0x483). Provides a simple capability check at runtime. Useful for logging and compatibility handling.","Section 3.1 PID","Explicit","None","Yes","MAJOR=0x1, MINOR=0x5 per guide revision"
"TMS320C6452 GPIO Controller","Output‑driven interrupts for self‑test","Debug/Interrupt","Interrupt generation does not require the pin to be configured as an input. Software can toggle an output to intentionally trigger its configured edge interrupt. This is useful for verifying interrupt routing and service routines. Facilitates board test without external signal sources. Should be disabled in production unless required.","Note in Section 2.10.3","Explicit","Configure edge registers; ensure BINTEN enabled and CPU IRQ routed","Yes","Handy for connectivity/debug validation"
"TMS320C6452 GPIO Controller","Dedicated GPIO interrupts (no multiplexing)","Interrupt","GPIO interrupts are not multiplexed with other interrupt functions on the device. This simplifies routing and reduces ambiguity in ISR sources. Software can rely on direct mapping per the device manual. Improves determinism and ease of configuration. ","Section 2.10.5","Explicit","Consult device interrupt map for IDs; enable in CPU interrupt controller","Yes","Direct lines improve latency and clarity"
"TMS320C6452 GPIO Controller","Open‑drain compatibility on certain pins","Interface/Electrical","Some GPIO signals may use open‑drain output buffers to support wired‑logic operation. Reading IN_DATA01 on such pins returns the wired‑logic level, which may differ from the device’s drive intent alone. This enables multi‑source ORing on shared lines with external pull‑ups. Exact pins supporting open‑drain are device‑specific. Software should account for bus‑level behavior when interpreting inputs.","Section 2.7.2 (open‑drain note)","Explicit","Device/package determines which pins are open‑drain; external pull‑ups required","Yes","See device data manual for pin‑level details"
"TMS320C6452 GPIO Controller","Banked register architecture for two banks","Architecture","Control/status registers are 32‑bit wide and serve a pair of 16‑pin banks (0 and 1). Register names use the 01 suffix, and per‑pin fields map to corresponding bit positions. This uniform layout simplifies code generation and looping over pins. Table 1 documents mapping of GP[n] to register bits. Promotes consistent handling of both banks in shared APIs.","Section 2.5; Table 1","Explicit","None beyond standard init","Yes","Naming convention: *01 registers cover banks 0 and 1"
