"controller_name","feature_name","category","description","evidence","type","dependencies","Driver required","Remarks"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Dual‑mode PCIe Controller (EP/RP/DM/Switch)","Interface","Configurable controller that supports Endpoint, Root Port, Dual‑Mode, and switch port personalities. Device type can be selected via parameters or pins at build/integration time. Enables embedded host controller operation as RP/DM for system root complex use cases. Exposes full PCIe configuration space and capability chains per selected role. Supports standard enumeration and discovery flows.","Parameter Descriptions: Device Type (Main Features Config Parameters), p. 11; Register Descriptions intro, p. 3030","Explicit","Device type parameter/pin strap; proper reset sequencing","Yes","Select RP/DM for host role; EP for device role"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","PIPE PHY Interface","Interface","Implements the standard PIPE interface to connect to external PCIe PHYs. Includes a PHY register bus for control/status and calibration. Supports custom PHY option when integrating vendor‑specific PHYs. Ensures compliance with PCIe physical layer timing and signaling. Provides lane/clock interfaces per configured link width and speed.","Parameter Descriptions: Phy Selection, p. 17; Signal Descriptions: PHY Register Bus Interface Signals, p. 1198","Explicit","External PHY availability; PIPE clocks/resets; board SI","No","Choose PHY IP that matches target Gen/lane width"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","AXI System‑Side Interconnect","Interface","Provides AXI interfaces on the system side for configuration and high‑bandwidth data movement. Supports basic and advanced AXI configuration options including outstanding IDs and QoS. Bridges PCIe transactions to system memory coherently when used with system fabric. Enables mapping of BARs and DMA buffers into system address space. Includes robust backpressure and flow control on AXI.","Parameter Descriptions: Basic AXI Config, p. 42; Advanced AXI Config, p. 77","Explicit","AXI clock/reset; fabric connectivity and address map","Yes","Size AXI data width/IDs to match throughput goals"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","HDMA Read/Write Engines and Channels","Data Handling","Integrated DMA engines provide read and write paths with multiple channels. Per‑channel enable, context, and MSI configuration registers exist for fine‑grained control. Hardware doorbells and status support efficient submission/completion. Designed for high throughput with minimal CPU overhead. Exposes capability via a Vendor‑Specific Extended Capability structure.","DMA_READ_ENGINE_CHGROUP_OFF (USP) p. 5142; HDMA_MSI_MSGD_OFF_WRCH_i/HDMA_EN_OFF_RDCH_i (DSP) p. 2970–2971; VSECDMA_EXT_CAP_HDR_OFF p. 3837","Explicit","CC_DMA_ENABLE; Bus Master Enable in PCI Command; MSI/MSI‑X configured","Yes","Use unrolled register map to program per‑channel contexts"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","DMA Context/Descriptor RAMs and Buffers","Memory","Dedicated context and read buffer RAMs store descriptors and data staging. Handshake and context memories decouple software and hardware rates. Buffering improves large transfer efficiency and latency hiding. Internal RAMs are sized per configuration to meet bandwidth targets. Exposed through DMA programming model and signals.","Signal Descriptions: DMA Context Memory RAM, p. 894; DMA Read Buffer RAM, p. 898; DMA Handshake Signals, p. 896","Explicit","DMA base/unroll programmed; memory regions accessible; link up","Yes","Pin descriptor rings in contiguous memory for best performance"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","DMA Doorbells and Handshakes","Data Handling","Hardware handshake counters and doorbells coordinate work submission and completion. Low/high handshake counter registers track outstanding descriptors. Reduces interrupt load by batching completions. Supports polling or MSI/MSI‑X notification models. Aids robust flow control in high‑throughput scenarios.","DMA_WRITE_ENGINE_HSHAKE_CNT_LOW/HIGH_OFF (USP) p. 5144/5147; Handshake Signals p. 896","Explicit","DMA enabled; MSI/MSI‑X configured if interrupt‑driven","Yes","Use polling for microbenchmarks; MSI‑X for production"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Transmit Retry and SOT Buffers","Performance","Internal retry and start‑of‑transfer buffers improve link utilization and reliability. Retransmission is handled in hardware on NAKs or errors. SOT buffering helps align TLP boundaries to PHY framing. These buffers are dimensioned for negotiated Gen and width. Tuning equalization works in concert with these buffers for stability.","Signal Descriptions: Transmit Retry Buffer RAM, p. 882; SOT Buffer RAM, p. 887","Explicit","Link trained; PHY stable; adequate credit flow","No","Purely internal; no driver programming beyond link bring‑up"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","MSI (Message Signaled Interrupts)","Interrupt","Implements standard MSI capability for interrupt delivery without legacy pins. Supports 32/64‑bit message addresses and multiple MSI vectors when enabled. PF and VF contexts expose MSI enable/mask/address/data. Handshake signals integrate with internal event sources and DMA. Reduces latency and improves scalability compared to INTx.","PF0 MSI Capability regs: PCI_MSI_CAP_ID_NEXT_CTRL_REG p. 1357; MSI address/data regs p. 1361+; Signal Descriptions: MSI Interface Signals (2.91)","Explicit","MSI_CAP_ENABLE && (CX_MEMORY_MAP_PCIE_TYPE<2); Bus Master Enable; configured address/data","Yes","Program MSI before arming producers to avoid lost interrupts"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","MSI‑X (Table and PBA)","Interrupt","Supports MSI‑X with a programmable table and Pending Bit Array for fine‑grained vectoring. Enables per‑vector masking and up to thousands of vectors per function. Table and PBA can reside in BAR‑mapped memory for flexible placement. Internal RAM interfaces back MSI‑X accesses. Ideal for multi‑queue drivers and virtualization.","PF0 MSI‑X regs: PCI_MSIX_CAP_ID_NEXT_CTRL p. 1469; MSIX_TABLE_OFFSET p. 1472; MSIX_PBA_OFFSET p. 1481; MSI‑X Table/PBA RAM Signals p. 890/892","Explicit","MSIX_CAP_ENABLE && (CX_MEMORY_MAP_PCIE_TYPE<2); Table/PBA BAR mapped; Function Mask handling","Yes","Do not modify entries while MSI‑X Enable=0 to prevent spurious IRQs"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Legacy INTx","Interrupt","Provides compatibility with legacy level‑triggered interrupts. Interrupt Line and Pin fields are exposed in configuration headers. Useful for simple firmware bring‑up or OSes lacking MSI support. Typically disabled in production in favor of MSI/MSI‑X. Supports standard INTA#..INTD# semantics.","Type0/Type1 headers: MAX_LATENCY_MIN_GRANT_INTERRUPT_PIN_INTERRUPT_LINE_REG p. 3114; BRIDGE_CTRL_INT_PIN_INT_LINE_REG p. 1342","Explicit","INTx unmasked; platform interrupt controller wired","Yes","Prefer MSI/MSI‑X for performance and scalability"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","VF MSI/MSI‑X for SR‑IOV","Interrupt","Virtual Functions inherit MSI/MSI‑X capabilities with per‑VF enable/mask/address. Enables scalable interrupt delivery in virtualized environments. VF configuration space provides capability pointers and headers. Works with PF‑managed MSI‑X tables for resource partitioning. Integrates with hypervisors and SR‑IOV‑aware drivers.","Signal Descriptions: VF MSI/MSI‑X signals; VF_PCI_CAP_PTR_REG (USP) p. 4726","Explicit","SR‑IOV enabled; VF BARs mapped; hypervisor support","Yes","Coordinate vector allocation between PF and VFs"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","PCI Power Management Capability (PME, D‑states)","Power","Implements standard PCI PM capability for D0–D3hot and PME signaling. Controls device power states and reports PME status to upstream entities. Integrates with OS power frameworks. Coexists with deeper PCIe link‑level power mechanisms. Supports wake events per capability bits.","PF PM Capability in PCI Cap chain (PF/VF); standard PMCAP offsets (PF around PCI_CAP chain, manual p. 1350s)","Explicit","OS PM stack; PME routing configured","Yes","Use alongside L1 substates for optimal idle power"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","L1 Substates (L1.1/L1.2) and L1.CPM","Power","Supports PCIe L1 Substates to reduce idle link power with acceptable resume latency. Includes configurable defaults for latency tolerance and common mode restore. Works with endpoint acceptable latency parameters. Requires end‑to‑end support across link partners. Provides significant power savings in idle periods.","Parameter Descriptions: L1 Substates/L1.CPM Capability p. 122–125; Endpoint L1 Acceptable Latency table","Explicit","Both link partners enable L1.1/L1.2; latency budgets validated","Yes","Tune buffering and wake times before enabling globally"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Link Power Control via PCIe Capability","Power","Standard Device and Link Control registers manage ASPM, Max Payload Size, and Max Read Request Size. Software can enable ASPM policy and adjust payload for performance. Link status reflects negotiated speed and width for runtime decisions. Slot control/status supported where applicable. Provides knobs for balancing power and throughput.","DEVICE_CAPABILITIES p. 1373; DEVICE_CONTROL/STATUS p. 1377; LINK_CAPABILITIES p. 1388; LINK_CONTROL/STATUS p. 1395","Explicit","Link trained; OS policy allows ASPM/MPS/MRRS changes","Yes","Increase MPS/MRRS after validation to boost throughput"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Power Budgeting Extended Capability","Power","Implements PCI‑SIG Power Budgeting Extended Capability for reporting and control. Allows software to read and program budgeting data structures. Useful in multi‑function and chassis‑managed systems. Exposes data select and capability registers for structured access. Integrates into platform power orchestration.","PB_BASE/SELECT/DATA/CAP regs (DSP) p. 1579–1585","Explicit","Capability present; management stack uses it","Yes","Optional but valuable for system‑level power reporting"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Clock Gating Control","Power","Provides register control to gate internal clocks during idle periods. Reduces dynamic power when traffic is quiescent. Should be coordinated with link and DMA idleness to avoid throughput impact. Can be managed dynamically by firmware. Complements ASPM/L1 Substates for holistic power savings.","CLOCK_GATING_CTRL_OFF +0x88C (USP) p. 2245","Explicit","Traffic quiescent; driver/firmware policy","Yes","Gate progressively and monitor latency effects"
