"controller_name","feature_name","category","description","evidence","type","dependencies","Driver required","Remarks"
"TMS320C6452_UART","Two-bank 32-bit GPIO signal matrix","Interface","Provides up to 32 GPIO signals (GP[31:0]) organized into two banks of 16 pins each. Control registers are 32-bit and map per-pin fields across both banks to standardize access. Separate registers manage direction, input, output, and interrupt behavior for every pin. Table-based mapping defines exact bit positions for each GPIO within the registers. This structure enables uniform software control over all GPIO signals.","Section 2.2; Section 2.5; Table 1; Section 3 (Table 2)","Explicit","Pin multiplexing settings; Device data manual for pinout","YES","Use Table 1 to locate bit positions and ensure bank/pin alignment during register access."
"TMS320C6452_UART","GPIO direction control (DIR01)","Configuration","Each GPIO pin direction is programmable via DIR01, with 1 = input and 0 = output. By default, all pins reset as inputs (bit = 1). Direction can be changed at runtime to switch between input sensing and output driving. Configuration is per pin and grouped by banks 0 and 1. Proper direction setting is required before manipulating output registers.","Section 2.6; Section 2.7; Section 3.3 (DIR01)","Explicit","PSC clock enable; Pin multiplexing to GPIO function","YES","Always program direction before writing output-related registers to avoid unintended bus contention."
"TMS320C6452_UART","Output control via OUT_DATA, SET_DATA, CLR_DATA","Configuration","GPIO outputs are controlled by three mechanisms: direct write to OUT_DATA01, set via SET_DATA01, and clear via CLR_DATA01. SET drives selected outputs high without affecting others; CLR drives selected outputs low; OUT_DATA supports read-modify-write for complete vector updates. Reads of these registers return the output drive state, not the actual pin level if configured as input. Using set/clear allows multiple software entities to modify outputs without critical sections.","Section 1.2; Section 2.6.2; Sections 3.4–3.6","Explicit","DIR01 configured as outputs; PSC clock enabled","YES","Prefer SET/CLR for concurrency-safe bit updates; reserve OUT_DATA for atomic vector changes when appropriate."
"TMS320C6452_UART","Input sampling and readback (IN_DATA01)","Interface","The IN_DATA01 register returns the current synchronized state of GPIO pins. For pins configured as inputs, it reflects the external level sampled on the GPIO clock domain. For pins configured as outputs, it returns the driven value from the device. Some pins may be open-drain per device data manual, where IN_DATA returns the wired-logic level. All reads are synchronized to the GPIO peripheral clock.","Section 2.7; Section 3.7 (IN_DATA01)","Explicit","PSC clock enabled; Device data manual for open-drain details","YES","When using open-drain wiring, verify external pull-ups and interpret IN_DATA as the bus level rather than the device drive state."
"TMS320C6452_UART","Per-pin edge-detected interrupts","Interrupts","Every GPIO pin can act as an interrupt source with selectable edges. Rising-edge enables are controlled by SET_RIS_TRIG01/CLR_RIS_TRIG01, and falling-edge enables by SET_FAL_TRIG01/CLR_FAL_TRIG01. Both edges can be enabled to detect transitions in either direction. Edge detection is synchronized to the GPIO module clock for reliable event generation. Direction need not be input to generate an interrupt, enabling self-test by toggling outputs.","Section 2.10.3; Sections 3.8–3.11","Explicit","PSC clock enabled; GPIO clock domain active; CPU interrupt routing per device data manual","YES","For debounce or glitch filtering, implement software filtering if external hardware is absent, as no built-in debounce is specified."
"TMS320C6452_UART","Bank-level interrupt enable (BINTEN)","Interrupts","Bank-wide interrupt event generation is enabled per 16-pin bank using BINTEN. EN0 gates events for bank 0 and EN1 for bank 1. BINTEN bits control both CPU interrupt and EDMA event generation for the corresponding banks. This provides coarse enable/disable control in addition to per-pin edge configuration. Use it to quickly mask all events from a bank during critical operations.","Section 2.10.2; Section 3.2 (BINTEN)","Explicit","CPU interrupt controller mapping; EDMA event mapping","YES","Ensure BINTEN is set after individual edge configurations; clearing BINTEN masks all events regardless of per-pin settings."
"TMS320C6452_UART","Interrupt status and clearing (INTSTAT01)","Interrupts","Pending GPIO interrupt status is readable in INTSTAT01 with one bit per pin. A logic 1 indicates a pending event, and logic 0 indicates none. Status bits are cleared by writing a 1 (write-one-to-clear), while writing 0 has no effect. For GPIOs routed directly to the CPU, CPU-side flags may also reflect status. Software must service and clear all pending events to restore normal operation.","Section 2.10.4; Section 3.12 (INTSTAT01)","Explicit","Per-pin edge configuration; BINTEN enable; CPU ISR handling","YES","Always read-modify-write W1C fields carefully: write a 1 only to bits intended to clear; preserve other pending flags."
"TMS320C6452_UART","EDMA synchronization from GPIO","DMA/Buffering","GPIO can generate synchronization events to the EDMA for transfer triggering. The same bank enables in BINTEN govern whether GPIO events propagate as EDMA events. This allows edge-detected GPIO activity to start or pace DMA operations without CPU intervention. Event routing details are device-specific and provided in the data manual. Use this to offload repetitive transfer initiation from software.","Section 1.2; Section 2.11; Section 3.2 (BINTEN notes)","Explicit","EDMA controller configured; Event-to-channel mapping per device data manual","YES","Coordinate GPIO edge polarity with EDMA transfer direction and latency; verify no missed events under maximum GPIO toggle rates."
"TMS320C6452_UART","Power and clock control via PSC (CPU/6 clock)","Power/Clock","The GPIO peripheral clock is disabled by default and must be enabled using the local PSC. The GPIO input clock runs at CPU/6 when enabled. Power management through the PSC can place the peripheral into reduced-power states to save energy. While in low-power state, interrupt generation is suspended but output states are retained. Proper PSC sequencing is required on entry and exit to ensure coherent behavior.","Section 2.1; Section 2.12","Explicit","PSC module; System clock configuration","YES","Enable the PSC domain before any GPIO register access and reinitialize settings if a PSC reset returns registers to defaults."
"TMS320C6452_UART","Initialization sequence","Configuration","A defined bring-up sequence is required after hardware reset. Configure device pin multiplexing to select GPIO function, then enable the GPIO module via the PSC. Next, program direction, data, and interrupt control registers per application needs. After this, the module is ready for data transactions. Skipping steps may lead to inoperative pins or bus conflicts.","Section 2.9; Section 2.3","Explicit","Pin multiplexing controller; PSC; DIR/SET/CLR/IN/INT registers","YES","Document and centralize initialization in a board-support package to ensure consistent setup across applications."
