feature_name,category,description,dependencies,driver_required
"Dual-mode operation (Root Complex and End Point)","Interface","Controller can operate either as Root Complex or as End Point, selectable via device mode pins/registers. Enables system hosting or device-attached roles with appropriate configuration space type and capabilities. Mode affects available windows (e.g., remote IO) and interrupt roles. Supports single link in either role.","Device mode (PCIESSMODE); Proper initialization sequence; LTSSM enabled","YES"
"Lane width x1/x2 with dynamic width conversion","Interface","Supports x1 or x2 link widths with automatic dynamic width conversion to maintain link in degraded conditions. Includes lane reversal and polarity inversion to ease PCB routing. Single bidirectional link; cannot split x2 into dual x1 links.","SerDes lane configuration; Common REFCLK recommended; Link training state machine","YES"
"Gen1/Gen2 link speed selection (2.5/5.0 GT/s)","Performance","Operates at 2.5 GT/s (Gen1) or 5.0 GT/s (Gen2) per lane with 8b/10b encoding. Speed is negotiated during training and may be forced/limited via local configuration. Electrical settings must match PHY requirements.","SerDes PLL MPY/config; LINK_CTRL2 speed; Stable REFCLK; LTSSM enabled","YES"
"Single Virtual Channel (VC) and Traffic Class (TC)","Configuration","Implements a single VC and single TC as per PCIe Base Spec 2.0. Simplifies QoS but limits traffic segregation. No support for multiple VCs/TCs or virtual channel negotiation.","Fixed capability in core; Device/Link Cap registers","NO"
"Max payload and read request sizes","Performance","Supports outbound max payload of 128 B and inbound max payload of 256 B with maximum remote read request size of 256 B. Sizes are configurable via Device Control registers and impact performance and credit usage.","DEV_STAT_CTRL[MaxPayload/MaxReadReq]; Credit management","YES"
"MSI support (generation/reception)","Interrupts","Supports Message Signaled Interrupts including generation in EP mode and reception in RC mode. Provides enable/disable per vector and status/ack handling. Improves interrupt performance and scalability over legacy INTx.","MSI0..MSI7_IRQ_ENABLE_SET/CLR; MSI_IRQ; Local config MSI capability; IRQ routing","YES"
"Legacy INTx support","Interrupts","Supports legacy INTx signaling: RC can receive INTx from downstream devices; EP can generate INTx to RC. Useful for compatibility with hosts or devices lacking MSI enablement.","LEGACY_*_IRQ_ENABLE_SET/CLR; INT_PIN (Type 0 header); System interrupt controller","YES"
"Advanced Error Reporting (AER) and ECRC","Error handling","Implements ECRC generation/checking and Advanced Error Reporting to detect and report correctable, non-fatal, and fatal errors. Enhances reliability and debuggability of the PCIe link and transactions.","AER capability in config space; DEV_STAT_CTRL2; Error IRQs","YES"
"VBUSM 128-bit master/slave data interface","Architecture","Provides a 128-bit VBUSM master interface for inbound data and 128-bit slave interface for memory-mapped registers and outbound traffic. Enables high-throughput data movement between PCIe and SoC interconnect.","SoC interconnect clock; Functional VBUSM clock; Proper address windows","YES"
"Outbound address translation regions","Address Translation","Maps internal SoC addresses to PCIe memory/IO/config spaces using programmable regions. Enables initiating PCIe transactions from the SoC to downstream targets with address remapping.","CMD_STATUS[OB_XLT_EN]; OB_OFFSET_INDEXn/OB_OFFSETn_HI; Region sizing","YES"
"Inbound address translation regions and BAR filtering","Address Translation","Maps inbound PCIe memory/config requests into SoC address space through BAR matches and offsets. Allows host to access device memory/registers when in EP mode and selective mapping in RC mode.","CMD_STATUS[IB_XLT_EN]; IB_BARn; IB_STARTn_LO/HI; IB_OFFSETn; BARx setup","YES"
"Remote configuration access window","Configuration","Enables RC to access downstream device configuration spaces by programming CFG_SETUP and issuing 32-bit non-burst reads/writes. Facilitates enumeration and configuration of endpoints through a dedicated window.","CFG_SETUP (CFG_TYPE/BUS/DEVICE/FUNC); Single 32-bit access rule","YES"
"Remote IO window (RC only)","Configuration","Provides a 4 KB special window to generate PCIe IO TLPs from RC. Must be used cautiously to avoid bus errors when no target is present. Only single 32-bit, non-burst, non-cacheable accesses are permitted.","IOBASE; RC mode only; Single 32-bit access rule","YES"
"Local configuration space access (Type 0/Type 1)","Configuration","Local config space exposes standard PCI/PCIe headers and capabilities for device or bridge role. Accessed via a special 32-bit-only window with DBI control for BAR mask writes.","Local config base; DBI_CS2 for BAR mask; 32-bit access restriction","YES"
"Power management (ASPM L0s/L1, PM messages)","Power","Supports ASPM L0s and L1 states and PM message handling. No L2 state support. PM registers provide controls for turn-off and PME messaging depending on role.","PMCAP/PM_CTL_STAT; PMCMD (PM_XMT_TURNOFF/PM_XMT_PME); PMCFG[ENTR_L23]","YES"
"Endianness configuration","Configuration","Programmable endianness for application interface to align with system conventions. Ensures correct ordering of multi-byte fields between PCIe core and SoC fabric.","ENDIAN register; System endianness setting","YES"
"Link training control and status","Debug","Software can start/stop link training and monitor link state machine. Allows controlled bring-up and diagnostics of link transitions and stability.","CMD_STATUS[LTSSM_EN]; DEBUG0[LTSSM_STATE]","YES"
"Downstream hot reset command (RC)","Reset","RC can issue a downstream hot reset to reinitialize attached devices without full system reset. Useful for recovery and re-enumeration scenarios.","RSTCMD[INIT_RST]; Transaction flush (RSTCMD[FLUSH_N])","YES"
"Interrupt controller integration and EOI handling","Interrupts","Interrupt sources within the PCIe module are routed to the SoC interrupt controller and require end-of-interrupt signaling. Software acknowledges serviced interrupts by writing to the EOI register.","IRQ_EOI; Interrupt mapping in SoC; Enable/Status registers","YES"
"MSI vector enable/disable granularity","Interrupts","MSI vectors 0–31 are grouped across enable/clear registers, allowing selective activation of required vectors. Facilitates per-function or per-queue interrupt design in drivers.","MSI0..MSI7_IRQ_ENABLE_SET/CLR; MSI_IRQ status","YES"
"Priority and privilege configuration","Configuration","Software can set master privilege ID and priority to integrate with SoC arbitration and security models. Helps coordinate bandwidth and access rights on shared interconnects.","PRIORITY (MST_PRIV/PRIVID/MST_PRIORITY); SoC QoS policies","YES"
"TLP attribute controls (Relaxed Ordering, No Snoop)","Performance","Driver can mark outbound TLPs with Relaxed Ordering and No Snoop attributes to optimize performance when platform coherency rules allow. Must be coordinated with system memory attributes.","TLPCFG[RELAXED/NO_SNOOP]; System coherency settings","YES"
"Outbound TLP size control","Performance","Configurable maximum size for outbound TLPs enables tuning of throughput versus latency and credit usage according to system characteristics and downstream device capabilities.","OB_SIZE; Device capabilities; Credit availability","YES"
"SerDes configuration and status","SerDes/PHY","SerDes requires PLL configuration, lock polling, and per-lane enablement. Status registers expose lock and lane conditions for robust bring-up and error diagnosis.","PCIE_SERDES_CFGPLL; PCIE_SERDES_STS[LOCK]; PCS_CFG0/1; PCS_STATUS","YES"
"Common clock configuration and SSC","Clocking","Supports common REFCLK operation with SSC when required; COMMON_CLK_CFG must be set consistently on both link partners. Non-common-clock operation is also supported with appropriate configuration.","LINK_STAT_CTRL[COMMON_CLK_CFG]; Stable REFCLK; SSC policy","YES"
"Limitations: unsupported features","Limitations","Module does not support inbound IO space, L2 link state, Function Level Reset, multiple VCs/TCs, vendor messages, or two independent x1 links. Special windows only allow single 32-bit non-burst accesses.","Fixed architectural limits; Access rules for special windows","NO"
"Debug and monitoring registers","Debug","Provides visibility into link state machine and PHY conditions. Useful during bring-up and field diagnostics to localize training issues and electrical problems.","DEBUG0[LTSSM_STATE]; PCS_STATUS; PCIE_SERDES_STS","NO"
"64-bit addressing and access rules","Configuration","Inbound 64-bit address usage in RC mode requires adherence to guide notes. All special windows (application, local config, remote config/IO) enforce single 32-bit, non-burst, non-cacheable accesses.","Inbound 64-bit usage note; 32-bit access restriction","YES"
"Enumeration support (RC) and EP response","Configuration","RC mode supports full downstream enumeration using the remote configuration window; EP mode responds to host enumeration with BAR and capability exposure. Driver must initialize BARs and translations accordingly.","CFG_SETUP; BARx; IB/OB translation enables; LTSSM up","YES"
"Initialization sequencing requirements","Initialization","Bring-up requires enabling module power, configuring SerDes PLL, delaying for lock, programming translations, enabling interrupts, and then starting link training. Ordering and delays are critical for stable link operation.","PSC/DEVSTAT; PCIE_SERDES_CFGPLL; PCIE_SERDES_STS; CMD_STATUS bits","YES"
